Analysis Info,Distance Threshold: 0.1,Angle Threshold: 20.0
GT File,analysis\groundTruth\4powerlines_gt.ply
Extracted Edges File,analysis\data\4powerlines\preservedEdges.ply

GT Edge Index,Edges Within Distance Threshold,Edges Within Angle Threshold,Avg Distance,Std Distance,Avg Angle,Std Angle
0,182,182,0.064761,0.021306,9.380674,4.876603
1,161,161,0.063867,0.022735,9.320054,4.591301
2,158,158,0.063378,0.023188,10.221257,4.992020
3,87,87,0.065922,0.022300,11.388448,4.742105
4,93,93,0.066994,0.023014,9.964389,5.048668
5,87,87,0.061811,0.022252,9.561514,4.940888
6,39,39,0.061036,0.026053,13.219160,4.892463
7,18,18,0.059637,0.021610,11.336433,6.013236
8,49,49,0.069464,0.023814,10.674034,5.397560
9,31,31,0.069689,0.023276,13.495949,5.076811
10,21,21,0.062310,0.028454,12.720616,4.795603
11,20,20,0.060015,0.029440,14.312388,3.905612
12,29,29,0.077305,0.019671,11.092511,5.135893
13,14,14,0.062457,0.025754,13.590463,4.530980
14,20,20,0.084302,0.011701,10.513237,5.144081
15,29,29,0.075390,0.020976,11.518863,5.223987
16,22,22,0.076191,0.018078,11.362002,5.742656
17,24,24,0.071292,0.022208,11.894240,4.890283
18,20,20,0.074507,0.019730,11.588272,4.755589
19,29,29,0.076070,0.021510,10.735477,5.738207
20,41,41,0.073260,0.017626,10.453965,5.145326
21,21,21,0.071405,0.019926,11.611950,5.872095
22,30,30,0.071537,0.020596,9.942984,5.370115
23,55,55,0.068123,0.018826,11.486272,4.586050
24,54,54,0.073136,0.019218,10.732556,5.469006
25,56,56,0.074256,0.022616,11.000871,5.493109
26,86,86,0.065188,0.023457,10.922449,5.181294
27,106,106,0.063396,0.022978,11.480556,5.158996
28,216,216,0.061391,0.024187,9.082510,4.885585
29,208,208,0.064556,0.024192,10.383854,5.393562
30,266,266,0.058911,0.023889,9.595919,5.378114
31,208,208,0.063582,0.022704,8.971160,4.950212
32,76,76,0.057584,0.020109,3.201777,3.156215
33,61,61,0.058104,0.023693,4.880501,4.235074
34,101,101,0.052578,0.024872,6.801192,4.352669
35,69,69,0.061167,0.025472,7.723792,4.609797
36,51,51,0.051652,0.024601,5.796556,3.037053
37,58,58,0.059692,0.022957,7.032536,3.745926
38,24,24,0.057809,0.025033,3.597223,2.280397
39,29,29,0.060048,0.021343,3.416650,2.874991
40,33,33,0.045234,0.027088,5.202300,2.657554
41,29,29,0.055856,0.016292,3.959797,2.558029
42,47,47,0.051478,0.027787,6.183758,3.937801
43,47,47,0.050641,0.022219,8.262863,5.347647
44,39,39,0.053132,0.026372,8.162247,4.486175
45,34,34,0.056970,0.028157,8.112129,4.016233
46,29,29,0.053199,0.023195,8.127859,3.347398
47,53,53,0.050251,0.026268,7.926102,4.164792
48,36,36,0.056121,0.023081,9.748423,4.584663
49,43,43,0.051272,0.023506,9.177976,3.661860
50,24,24,0.044342,0.026038,5.593963,2.922432
51,47,47,0.056890,0.025511,7.744042,4.635572
52,49,49,0.056766,0.024765,11.731601,4.244605
53,40,40,0.053138,0.028872,7.861341,4.893734
54,44,44,0.053540,0.025538,7.842461,4.327615
55,61,61,0.054947,0.022995,8.989651,4.442385
56,73,73,0.051911,0.026205,7.919108,5.113900
57,28,28,0.059058,0.022699,5.243868,4.100195
58,84,84,0.052169,0.023719,6.303678,4.417125
59,49,49,0.053616,0.023268,5.475443,4.010478
60,71,71,0.049877,0.025345,5.475079,4.459257
61,72,72,0.058294,0.024598,5.312050,3.406597
62,116,116,0.057865,0.024426,7.542665,4.649236
63,120,120,0.066685,0.021141,6.116977,4.584060
64,226,226,0.059169,0.025065,10.142311,5.030206
65,223,223,0.054580,0.023890,9.509384,4.663391
66,193,193,0.056560,0.022558,8.812048,4.956325
67,178,178,0.058680,0.022387,9.998625,4.926920
68,116,116,0.069832,0.022973,9.734889,4.893561
69,111,111,0.062897,0.025100,9.194940,5.006023
70,77,77,0.070973,0.021762,9.905314,5.121853
71,91,91,0.076730,0.016662,9.023790,5.557490
72,63,63,0.071163,0.021398,9.921159,5.551952
73,29,29,0.071821,0.023900,9.921124,5.555995
74,48,48,0.068769,0.025556,9.876447,5.178726
75,29,29,0.069834,0.022123,10.285900,5.114612
76,18,18,0.072465,0.017347,11.330986,3.798607
77,37,37,0.070257,0.022957,11.151909,4.453095
78,23,23,0.079069,0.014831,10.830166,4.610163
79,24,24,0.070816,0.017515,11.753946,4.590174
80,39,39,0.065935,0.021103,10.227863,5.429153
81,32,32,0.072431,0.023159,11.195912,5.428194
82,23,23,0.070370,0.025485,11.037059,5.262256
83,39,39,0.067550,0.027153,11.789151,5.378937
84,21,21,0.075643,0.020705,11.372013,4.765157
85,52,52,0.066380,0.024196,12.088535,4.898376
86,64,64,0.064684,0.023443,11.940382,5.321356
87,42,42,0.071236,0.021602,12.414072,5.123444
88,81,81,0.068406,0.023114,10.833368,5.128509
89,74,74,0.066974,0.025554,10.643382,5.263474
90,102,102,0.068920,0.022429,11.761326,5.395875
91,167,167,0.065337,0.022383,10.317234,5.072256
92,230,230,0.059659,0.023922,11.086449,5.099485
93,261,261,0.061389,0.024211,10.144131,4.997370
94,252,252,0.062759,0.024031,10.805432,5.323332
95,205,205,0.067360,0.022526,10.547308,5.387099
96,26,26,0.076906,0.016039,9.380114,4.018541
97,75,75,0.067659,0.023337,8.162974,4.408417
98,135,135,0.053980,0.023977,8.619048,4.857209
99,113,113,0.057337,0.025169,7.539741,4.239662
100,128,128,0.056183,0.024911,8.836152,4.516366
101,64,64,0.065775,0.023724,9.704095,5.206732
102,74,74,0.054545,0.029936,9.672188,5.016648
103,88,88,0.063727,0.023344,7.817172,4.501451
104,53,53,0.058266,0.024696,8.198911,5.507998
105,81,81,0.057676,0.026429,10.403449,4.652726
106,69,69,0.061891,0.023961,11.924866,4.781745
107,51,51,0.062201,0.026091,11.374619,4.486740
108,69,69,0.060818,0.025294,11.385555,4.615594
109,63,63,0.062550,0.024173,11.461966,5.092737
110,66,66,0.054642,0.020371,11.540193,5.003750
111,58,58,0.057281,0.025188,11.232008,5.383413
112,63,63,0.054049,0.025522,11.286332,4.474429
113,64,64,0.047040,0.024955,11.144295,4.577526
114,54,54,0.058049,0.024125,10.797567,4.668229
115,72,72,0.058212,0.023080,10.948508,5.223474
116,50,50,0.055508,0.024477,9.946018,4.789447
117,42,42,0.054618,0.022694,12.580594,5.246054
118,63,63,0.059378,0.024689,10.670553,4.470978
119,86,86,0.055834,0.027703,7.674939,3.823957
120,85,85,0.053655,0.023835,9.945233,5.184084
121,78,78,0.059404,0.023269,7.470023,4.412746
122,98,98,0.056989,0.022123,7.985003,4.452434
123,81,81,0.059831,0.027441,9.023786,4.615089
124,152,152,0.055028,0.023141,8.577787,4.848519
125,278,278,0.052558,0.023180,8.594251,4.988915
126,224,224,0.049457,0.024445,7.960696,4.685367
127,217,217,0.054130,0.023091,7.985402,4.969335

Summary,,,,,,
Total Edges Within Distance Threshold,10307,,,,,
Total Edges Within Angle Threshold,10307,,,,,
Avg Edges Within Distance Threshold Per GT Edge,80.523438,,,,,
Avg Edges Within Angle Threshold Per GT Edge,80.523438,,,,,
Average of All Avg Distances,0.062038,,,,,
