Analysis Info,Distance Threshold: 0.1,Angle Threshold: 20.0
GT File,analysis\groundTruth\pylon1_gt.ply
Extracted Edges File,analysis\data\pylon1\preservedEdges.ply

GT Edge Index,Edges Within Distance Threshold,Edges Within Angle Threshold,Avg Distance,Std Distance,Avg Angle,Std Angle
0,36,36,0.055849,0.023138,10.140945,5.264703
1,40,40,0.055694,0.027543,8.785417,4.933391
2,46,46,0.053864,0.023066,10.707234,5.007211
3,50,50,0.054110,0.026554,8.832207,4.274501
4,44,44,0.049037,0.028360,9.743024,5.675870
5,25,25,0.058596,0.025631,11.242479,4.752680
6,42,42,0.056012,0.024007,10.254303,6.023634
7,27,27,0.068712,0.021694,10.067499,5.333744
8,30,30,0.053559,0.028432,11.054296,5.107500
9,26,26,0.049605,0.028484,10.666605,6.108816
10,19,19,0.056730,0.021350,9.044929,4.441326
11,17,17,0.048484,0.025224,10.315577,4.830885
12,15,15,0.055971,0.021228,9.323631,4.716575
13,5,5,0.068866,0.021389,13.656600,4.927128
14,9,9,0.051052,0.023170,11.729181,5.043844
15,20,20,0.046738,0.028374,7.877551,3.945588
16,20,20,0.054644,0.026995,11.527638,5.259970
17,4,4,0.050487,0.024772,10.316405,5.971967
18,9,9,0.049562,0.025036,10.838881,5.284363
19,11,11,0.057723,0.025869,11.939027,4.444497
20,63,63,0.061299,0.022681,9.321222,3.987658
21,9,9,0.062898,0.026943,11.099934,4.185435
22,13,13,0.085289,0.013068,11.811420,3.313598
23,47,47,0.059943,0.021611,10.648131,4.465453
24,20,20,0.055907,0.024024,9.853128,4.074323
25,8,8,0.083748,0.015750,11.535259,5.841289
26,100,100,0.049020,0.026543,9.084770,4.203962
27,7,7,0.085517,0.014232,9.835388,4.570821
28,4,4,0.066289,0.020167,8.558782,1.661029
29,74,74,0.060533,0.024834,8.859494,4.246479
30,8,8,0.064502,0.023158,11.227345,4.650782
31,6,6,0.076115,0.020357,12.117949,2.036293
32,64,64,0.057171,0.021199,9.363123,4.021485
33,3,3,0.068017,0.015332,13.877795,0.567396
34,10,10,0.075185,0.017220,9.602123,4.122579
35,56,56,0.055203,0.022551,10.202080,4.860142
36,17,17,0.060494,0.026594,8.951392,3.499922
37,7,7,0.068912,0.021591,10.241026,3.164141
38,109,109,0.056312,0.022589,9.599643,4.469999
39,6,6,0.080416,0.021523,12.131413,4.619765
40,15,15,0.073259,0.024750,14.397539,3.088910
41,73,73,0.059179,0.022030,8.416640,2.935469
42,10,10,0.060421,0.022562,9.811887,3.992388
43,12,12,0.078024,0.014241,13.421591,4.239762
44,56,56,0.065158,0.022629,9.662071,4.207887
45,7,7,0.069499,0.023556,11.201136,5.260201
46,8,8,0.074915,0.018342,14.858496,3.080056
47,58,58,0.066106,0.021639,10.456979,4.896302
48,23,23,0.050922,0.025529,9.897652,4.666061
49,3,3,0.063161,0.003011,7.597037,2.376168
50,109,109,0.057185,0.023576,10.519801,4.481927
51,2,2,0.050365,0.029583,12.355157,3.031688
52,8,8,0.044483,0.019105,10.665155,4.122341
53,82,82,0.054682,0.024878,9.503477,4.437893
54,24,24,0.049362,0.024340,9.828818,4.721315
55,6,6,0.067202,0.026055,11.872597,3.703449
56,23,23,0.066490,0.017610,8.029008,5.402951
